date,QQQ,QLD,XLU,IAU,TLT,BIL,SVXY
2006-01-03,35.2737693787,,7.9023427963,10.6420001984,47.4923286438,,
2006-01-04,35.6409301758,,7.9146895409,10.6619997025,47.6062202454,,
2006-01-05,35.7946243286,,7.8628315926,10.4720001221,47.5492591858,,
2006-01-06,36.4435844421,,7.9467921257,10.7639999390,47.4612770081,,
2006-01-09,36.5887413025,,7.8974013329,10.9300003052,47.4923286438,,
2006-01-10,36.6143569946,,7.9097495079,10.8219995499,47.1094131470,,
2006-01-11,36.8961257935,,7.8974013329,10.9099998474,47.0318107605,,
2006-01-12,36.7168121338,,7.8974013329,10.8959999084,47.3474502563,,
2006-01-13,36.6997528076,,7.9517331123,11.1079998016,47.6216888428,,
2006-01-17,36.4606590271,,8.0356979370,11.0679998398,47.8338356018,,
2006-01-18,36.0422401428,,8.0529794693,10.8199996948,47.8183441162,,
2006-01-19,36.3069534302,,8.1245965958,11.1199998856,47.6786270142,,
2006-01-20,35.2225341797,,8.0776739120,11.0459995270,47.8028335571,,
2006-01-23,35.2310638428,,8.0653257370,11.1660003662,47.7873039246,,
2006-01-24,35.3847770691,,8.1369409561,11.1540002823,47.5544357300,,
2006-01-25,35.2310638428,,8.0258121490,11.2480001450,47.0370101929,,
2006-01-26,35.4786872864,,7.9541993141,11.1700000763,46.8351821899,,
2006-01-27,35.9568939209,,7.9986481667,11.1420001984,46.8351821899,,
2006-01-30,36.0251655579,,7.9443225861,11.3540000916,46.7886161804,,
2006-01-31,35.8629531860,,7.9393854141,11.3579998016,46.9179344177,,
2006-02-01,35.9910278320,,7.9616088867,11.3660001755,46.7574996948,,
2006-02-02,35.3762321472,,7.8578906059,11.4160003662,46.8457641602,,
2006-02-03,34.9407310486,,7.8183765411,11.3159999847,47.1781387329,,
2006-02-06,34.8468132019,,7.8652977943,11.3699998856,47.2715835571,,
2006-02-07,34.6931343079,,7.8183765411,10.9320001602,47.0482940674,,
2006-02-08,35.0944328308,,7.8159098625,10.9820003510,46.9392280579,,
2006-02-09,34.7614364624,,7.8430719376,11.2500000000,47.1521339417,,
2006-02-10,34.9749069214,,7.8480148315,10.9759998322,46.8925361633,,
2006-02-13,34.5735969543,,7.8381352425,10.7419996262,46.8977012634,,
2006-02-14,34.9236869812,,7.8307271004,10.9139995575,46.7315139771,,
2006-02-15,35.1456718445,,7.8430719376,10.7639999390,46.8457641602,,
2006-02-16,35.4701728821,,7.9048132896,10.9219999313,46.8561553955,,
2006-02-17,35.1883773804,,7.9764237404,11.0080003738,47.2300300598,,
2006-02-21,34.7955894470,,7.9887733459,11.0299997330,47.1521339417,,
2006-02-22,35.2310638428,,8.0184068680,11.0679998398,47.4741210938,,
2006-02-23,35.1371383667,,8.0085296631,10.9460000992,47.3546943665,,
2006-02-24,35.2310638428,,8.0332260132,11.1499996185,47.2820014954,,
2006-02-27,35.6238632202,,8.0974330902,11.0500001907,47.2041282654,,
2006-02-28,35.0944328308,,8.0431003571,11.2100000381,47.4377899170,,
2006-03-01,35.5726089478,,8.0208749771,11.2320003510,47.1511344910,,
2006-03-02,35.5982322693,,8.0159358978,11.3599996567,46.8228569031,,
2006-03-03,35.3932952881,,7.9764237404,11.2799997330,46.5518493652,,
2006-03-06,35.0859031677,,7.8480148315,11.0679998398,46.1453781128,,
2006-03-07,34.8809700012,,7.8109712601,11.0120000839,46.1766281128,,
2006-03-08,34.8980484009,,7.8035597801,10.7980003357,46.1610488892,,
2006-03-09,34.5991935730,,7.7813377380,10.8699998856,46.1766281128,,
2006-03-10,34.6333503723,,7.8307271004,10.7799997330,46.0046653748,,
2006-03-13,34.7358207703,,7.8406071663,10.8739995956,45.9681930542,,
2006-03-14,35.3250045776,,7.9245634079,10.9960002899,46.2756652832,,
2006-03-15,35.6238632202,,7.9764237404,11.0419998169,46.0255317688,,
2006-03-16,35.3250045776,,8.0184068680,11.0679998398,46.4424438477,,
2006-03-17,35.4181404114,,7.9989981651,11.0399999619,46.3017120361,,
2006-03-20,35.5035858154,,7.8820657730,11.0459995270,46.3746604919,,
2006-03-21,35.1276168823,,7.8223514557,10.9840002060,46.1349754333,,
2006-03-22,35.2130661011,,7.8596739769,10.9659996033,46.2340049744,,
2006-03-23,35.1105155945,,7.8497209549,10.9600000381,46.0880966187,,
2006-03-24,35.2899551392,,7.8347887993,11.1540002823,46.4268074036,,
2006-03-27,35.2985076904,,7.7825436592,11.2880001068,46.2548294067,,
2006-03-28,35.1532440186,,7.7501988411,11.2279996872,45.8223342896,,
2006-03-29,35.8197326660,,7.7974729538,11.4340000153,45.6033935547,,
2006-03-30,35.9308128357,,7.7278065681,11.7259998322,45.2855224609,,
2006-03-31,35.8282890320,,7.6705822945,11.6459999084,45.2698974609,,
2006-04-03,35.8710021973,,7.6805329323,11.7119998932,45.2845611572,,
2006-04-04,36.0675277710,,7.7626399994,11.6999998093,45.2374839783,,
2006-04-05,36.4093284607,,7.8372788429,11.7539997101,45.3002738953,,
2006-04-06,36.5118560791,,7.7402477264,11.8739995956,44.9549903870,,
2006-04-07,36.1615219116,,7.6307749748,11.7440004349,44.5156059265,,
2006-04-10,36.1102676392,,7.6282854080,11.9379997253,44.5992660522,,
