year,qqq_return,qqq_max_drawdown,qqq_observations,start_x,end_x,strategy_return,strategy_max_drawdown,strategy_observations,start_y,end_y,strategy,return_gap,mdd_gap,mdd_no_worse,mdd_strictly_better,return_within_5pp,return_within_10pp,both_within_5pp,both_within_10pp
2007,0.08794543063840421,-0.11448260142528455,150,2007-05-30,2007-12-31,0.07845309906906928,-0.11448260142528466,150,2007-05-30,2007-12-31,Composite_70VolTarget24_30QQQ,-0.009492331569334933,-1.1102230246251565e-16,True,False,True,True,True,True
2008,-0.4172714865371451,-0.4999007426178871,253,2008-01-02,2008-12-31,-0.3287705923652967,-0.4084442543518262,253,2008-01-02,2008-12-31,Composite_70VolTarget24_30QQQ,0.08850089417184837,0.0914564882660609,True,True,True,True,True,True
2009,0.5468412950214381,-0.18285720465447075,252,2009-01-02,2009-12-31,0.4665750156248212,-0.14521851041441736,252,2009-01-02,2009-12-31,Composite_70VolTarget24_30QQQ,-0.0802662793966169,0.037638694240053394,True,True,False,True,False,True
2010,0.20143762567919277,-0.15609285416254293,252,2010-01-04,2010-12-31,0.211843032947449,-0.14500323027567374,252,2010-01-04,2010-12-31,Composite_70VolTarget24_30QQQ,0.010405407268256228,0.011089623886869182,True,True,True,True,True,True
2011,0.03475800926494377,-0.160992676056681,252,2011-01-03,2011-12-30,0.043924098697013525,-0.160992676056681,252,2011-01-03,2011-12-30,Composite_70VolTarget24_30QQQ,0.009166089432069757,0.0,True,False,True,True,True,True
2012,0.18112534240461264,-0.11637894714771613,250,2012-01-03,2012-12-31,0.1786435122433776,-0.1163789471477159,250,2012-01-03,2012-12-31,Composite_70VolTarget24_30QQQ,-0.0024818301612350435,2.220446049250313e-16,True,False,True,True,True,True
2013,0.3663418084306618,-0.058537955039066336,252,2013-01-02,2013-12-31,0.3663418084306618,-0.058537955039066336,252,2013-01-02,2013-12-31,Composite_70VolTarget24_30QQQ,0.0,0.0,True,False,True,True,True,True
2014,0.19181382856500617,-0.0824853533251676,252,2014-01-02,2014-12-31,0.19181382856500617,-0.0824853533251676,252,2014-01-02,2014-12-31,Composite_70VolTarget24_30QQQ,0.0,0.0,True,False,True,True,True,True
2015,0.09435929702570856,-0.13941054644448492,252,2015-01-02,2015-12-31,0.09088153563720436,-0.13941054644448492,252,2015-01-02,2015-12-31,Composite_70VolTarget24_30QQQ,-0.003477761388504197,0.0,True,False,True,True,True,True
2016,0.0709787945809095,-0.13892378087763313,252,2016-01-04,2016-12-30,0.07187491268175483,-0.12703357052690933,252,2016-01-04,2016-12-30,Composite_70VolTarget24_30QQQ,0.0008961181008453334,0.011890210350723796,True,True,True,True,True,True
2017,0.32663542829204406,-0.04882008555649564,251,2017-01-03,2017-12-29,0.32663542829204406,-0.04882008555649564,251,2017-01-03,2017-12-29,Composite_70VolTarget24_30QQQ,0.0,0.0,True,False,True,True,True,True
2018,-0.001262008063145803,-0.2279666681395237,251,2018-01-02,2018-12-31,0.019437263528451654,-0.2101259831270268,251,2018-01-02,2018-12-31,Composite_70VolTarget24_30QQQ,0.020699271591597457,0.017840685012496915,True,True,True,True,True,True
2019,0.3896158521282893,-0.10983202295735706,252,2019-01-02,2019-12-31,0.3668867826552791,-0.10983202295735717,252,2019-01-02,2019-12-31,Composite_70VolTarget24_30QQQ,-0.022729069473010233,-1.1102230246251565e-16,True,False,True,True,True,True
2020,0.48406128849703234,-0.2855935565828831,253,2020-01-02,2020-12-31,0.42403809910446477,-0.24890138541108353,253,2020-01-02,2020-12-31,Composite_70VolTarget24_30QQQ,-0.060023189392567566,0.03669217117179957,True,True,False,True,False,True
2021,0.27419694495662195,-0.10851528987739201,252,2021-01-04,2021-12-31,0.2724050754766467,-0.10851528987739201,252,2021-01-04,2021-12-31,Composite_70VolTarget24_30QQQ,-0.0017918694799752277,0.0,True,False,True,True,True,True
2022,-0.3257699158587175,-0.34827972472096713,251,2022-01-03,2022-12-30,-0.29393087148402974,-0.32593399332024886,251,2022-01-03,2022-12-30,Composite_70VolTarget24_30QQQ,0.031839044374687764,0.02234573140071827,True,True,True,True,True,True
2023,0.5485553825101768,-0.10779921970614925,250,2023-01-03,2023-12-29,0.5500798281621453,-0.10779921970614992,250,2023-01-03,2023-12-29,Composite_70VolTarget24_30QQQ,0.0015244456519685201,-6.661338147750939e-16,True,False,True,True,True,True
