strategy,total_return,annual_return,max_drawdown,volatility,sharpe,observations,complete_years,mdd_no_worse_years,mdd_strictly_better_years,return_within_5pp_years,both_within_5pp_years,return_within_10pp_years,both_within_10pp_years,min_return_gap,median_return_gap,min_mdd_gap,median_mdd_gap,strict_eligible,strict_mdd_eligible,risk_first_eligible
Ensemble_VolTarget22_fast_ultra_50_50,19.930547894804512,0.17195326155984092,-0.40999278384620785,0.19307869030290997,0.9187384451629905,4830,18,18,10,18,18,18,18,-0.04452742095394413,-0.0011063291500076344,-8.881784197001252e-16,0.0038091309461283918,True,False,True
Ensemble_VolTarget22_fast_ultra_50_50_Buffer1_goldcash,19.605919684880273,0.17099786833755148,-0.4067651859202327,0.19123148361123068,0.921483485747013,4830,18,18,18,18,18,18,18,-0.04939569531271637,-0.003229152557218118,0.00021862940144623533,0.0048243721264336625,True,True,True
QQQ,16.82219989763943,0.16216434341264052,-0.5340399304007597,0.22379197849910268,0.7836972127356518,4830,18,18,0,18,18,18,18,0.0,0.0,0.0,0.0,True,False,True
Static_QQQ97.5_goldcash,16.257386851296815,0.16021326857451235,-0.5242163561578157,0.21837906489603223,0.7899330343872786,4830,18,18,18,18,18,18,18,-0.014328081474060284,-0.003131982438173031,0.0005463029290667665,0.003825964086493938,True,True,True
Static_QQQ97.5_balanced,16.228917214750926,0.16011332890787178,-0.5242371533755579,0.2183792686399499,0.789537353801651,4830,18,18,18,18,18,18,18,-0.014750816523599886,-0.0032907410525597758,0.0004052226489379418,0.003688682735063842,True,True,True
Static_QQQ97.5_rates,16.20833111256396,0.1600409659999389,-0.5235360373036979,0.21810438300443472,0.7899700257864489,4830,18,18,18,18,18,18,18,-0.01661970943920199,-0.0031421831406228673,0.00032959309250757407,0.003913287548223288,True,True,True
Static_QQQ97.5_bil,15.891046356621391,0.1589151661167849,-0.5238992447367061,0.2181849884292522,0.7853101781652267,4830,18,18,18,18,18,18,18,-0.015450669834149,-0.004962778670029699,0.0012349842680813294,0.0033204602827749397,True,True,True
Static_QQQ95_goldcash,15.699880708283406,0.1582271499259753,-0.5142356554764895,0.21298295847747256,0.7964229917275563,4830,18,18,18,18,18,18,18,-0.028522328258581142,-0.006277585506508032,0.0010917027675525492,0.0076644367048579465,True,True,True
Static_QQQ95_balanced,15.644951049819738,0.158028074074555,-0.5142746120801011,0.21298152249522612,0.795618455566756,4830,18,18,18,18,18,18,18,-0.0294254438732382,-0.00659495680550215,0.0008095179009554032,0.007389452424992338,True,True,True
Static_QQQ95_rates,15.603992173711372,0.15787922539523902,-0.5128468615851784,0.2124350707997923,0.7965101982121651,4830,18,18,18,18,18,18,18,-0.03313467419704286,-0.006302703500874918,0.0006580247272054418,0.007839429499575501,True,True,True
Static_QQQ95_bil,14.998842967424903,0.15563852860141525,-0.5135837500669899,0.21257806947759703,0.7870079679503138,4830,18,18,18,18,18,18,18,-0.030808934572785995,-0.009926019602524594,0.0024702393770075215,0.0066493885304049205,True,True,True
VolTarget_22_goldcash_fast_rebound,20.418889233693807,0.1733643366246156,-0.40906959949921773,0.1905009295207528,0.9348975674889596,4830,18,18,9,17,17,18,18,-0.09038067205077116,0.0,-4.440892098500626e-16,0.002840413732759839,False,False,True
VolTarget_24_goldcash_fast_rebound,20.23240249519199,0.17282911241092824,-0.4165941851055517,0.19506044653361565,0.9152032909255637,4830,18,18,9,17,17,18,18,-0.08408141292782978,0.0,-4.440892098500626e-16,0.0012265312910110793,False,False,True
VolTarget_24_goldcash_ultrafast_rebound,19.783143092729695,0.17152119719393566,-0.41989837309839295,0.2008777116964988,0.8888580338204211,4830,18,18,8,17,17,18,18,-0.05584297203287192,0.0,-4.440892098500626e-16,1.1102230246251565e-16,False,False,True
VolTarget_22_goldcash_ultrafast_rebound,19.302810185457734,0.17009283801857666,-0.4125395245023201,0.19685218369245894,0.8967744143521689,4830,18,18,9,17,17,18,18,-0.062140353995933095,0.0,-8.881784197001252e-16,0.0010020641246339945,False,False,True
VolTarget_20_goldcash_ultrafast_rebound,18.85243962999408,0.16872417833684628,-0.3958568585019606,0.19207806798192928,0.9081247610691031,4830,18,18,10,17,17,18,18,-0.06854321594488422,0.0,-1.1102230246251565e-16,0.002963319142033738,False,False,True
VolTarget_24_goldcash_trend_rebound,18.070941369166295,0.16627784103205645,-0.4215011661050949,0.20053463910936709,0.8677644715852989,4830,18,18,7,17,17,17,17,-0.1832574169033485,0.0,-4.440892098500626e-16,0.0,False,False,False
VolTarget_22_goldcash_trend_rebound,17.781528067768125,0.1653477083050865,-0.41536967384832824,0.1970364905400192,0.8756075950329565,4830,18,18,7,17,17,17,17,-0.2055881132796855,0.0,-4.440892098500626e-16,0.0,False,False,False
VolTarget_20_goldcash_fast_rebound,20.393762252283558,0.17329247926848446,-0.39103619246742394,0.18521661131601241,0.9558713988010374,4830,18,18,9,16,16,18,18,-0.09700338992739743,-0.0009131574404025455,-8.881784197001252e-16,0.004455806218450931,False,False,True
VolTarget_22_goldcash_fast_bull_cap,20.23986070372227,0.17285060314474787,-0.3961895316961377,0.19155250269670213,0.9285326720753313,4830,18,18,10,16,16,18,18,-0.07754434714590519,0.0,-6.661338147750939e-16,0.004777571899341582,False,False,True
VolTarget_24_goldcash_fast_bull_cap,20.206110232418165,0.1727532944727994,-0.4070207687364068,0.19617923109205512,0.9107746051343902,4830,18,18,9,16,16,18,18,-0.06943657387624524,0.0,-7.771561172376096e-16,0.0012265312910110793,False,False,True
VolTarget_24_goldcash_bull_cap,19.225874686472995,0.1698610849467379,-0.4165861863009114,0.19427292479264902,0.9050751054756185,4830,18,18,9,16,16,17,17,-0.11481960812392744,0.0,-4.440892098500626e-16,0.0012265312910109682,False,False,False
VolTarget_22_goldcash_bull_cap,19.111708864784546,0.16951563831722782,-0.4089094267794319,0.1893426392016024,0.9220929629561141,4830,18,18,10,16,16,17,17,-0.1276324820427639,-0.00016718475451604764,-6.661338147750939e-16,0.004777571899341582,False,False,False
