target_vol,fast_rebound_share,annual_return,max_drawdown,mdd_no_worse_years,mdd_strictly_better_years,return_within_5pp_years,both_within_5pp_years,min_return_gap
0.2,0.4,0.1698768894203273,-0.39053449509302096,18,18,16,16,-0.057508029698705165
0.2,0.5,0.17033648657917588,-0.39007334256105974,18,18,16,16,-0.05368048888926791
0.2,0.6,0.1707696658099327,-0.38962380893123705,18,18,16,16,-0.05652744169215507
0.21,0.4,0.17035968692642922,-0.39929774577184285,18,18,17,17,-0.05515086673518965
0.21,0.5,0.17075690757365414,-0.3989655045924313,18,18,17,17,-0.051521848395594594
0.21,0.6,0.17113273135905405,-0.39864310054307084,18,18,17,17,-0.053209802572824705
0.22,0.4,0.17066939921622581,-0.40697178061919115,18,18,17,17,-0.05282449545727297
0.22,0.5,0.17099786833755148,-0.4067651859202327,18,18,18,18,-0.04939569531271637
0.22,0.6,0.17130782987346382,-0.4065668114929737,18,18,18,18,-0.04996851001807556
0.23,0.4,0.17108033551432777,-0.4109991584660544,18,18,17,17,-0.05052904220883514
0.23,0.5,0.17132102513254166,-0.4109151896380556,18,18,18,18,-0.04730214796836818
0.23,0.6,0.17154560308984101,-0.4108380053909778,18,18,18,18,-0.0468408384824639
0.24,0.4,0.17127586855297494,-0.41302046783749014,18,18,18,18,-0.04826463162127537
0.24,0.5,0.1714077188219838,-0.41305823634667616,18,18,18,18,-0.045241322783185156
0.24,0.6,0.17152514180707046,-0.41310149090359505,18,18,18,18,-0.04380506299591658
