end,start,strategy,annualized_return,max_drawdown
2010-05-27,2007-05-30,QQQ,-0.005266595278556885,-0.5340399304007597
2010-05-27,2007-05-30,selected,0.05194944967709514,-0.4067651859202327
2010-05-28,2007-05-31,QQQ,-0.007222347939236262,-0.5340399304007597
2010-05-28,2007-05-31,selected,0.04990647255155345,-0.4067651859202327
2010-06-01,2007-06-01,QQQ,-0.011812767277047276,-0.53403993040076
2010-06-01,2007-06-01,selected,0.04669698716897619,-0.40676518592023325
2010-06-02,2007-06-04,QQQ,-0.004282619491969175,-0.5340399304007599
2010-06-02,2007-06-04,selected,0.05163541227473534,-0.4067651859202327
2010-06-03,2007-06-05,QQQ,-0.002115447463735709,-0.5340399304007606
2010-06-03,2007-06-05,selected,0.05287177633636664,-0.40676518592023336
2010-06-04,2007-06-06,QQQ,-0.013646817055426919,-0.5340399304007606
2010-06-04,2007-06-06,selected,0.04607286489603157,-0.40676518592023336
2010-06-07,2007-06-07,QQQ,-0.0161348936226684,-0.5340399304007599
2010-06-07,2007-06-07,selected,0.0430910540750844,-0.4067651859202327
2010-06-08,2007-06-08,QQQ,-0.01159167557948737,-0.5340399304007603
2010-06-08,2007-06-08,selected,0.0427328668679019,-0.40676518592023236
2010-06-09,2007-06-11,QQQ,-0.01836642494354135,-0.5340399304007595
2010-06-09,2007-06-11,selected,0.04060308885094521,-0.4067651859202327
2010-06-10,2007-06-12,QQQ,-0.008485525672856209,-0.5340399304007589
2010-06-10,2007-06-12,selected,0.045882683938705204,-0.4067651859202326
2010-06-11,2007-06-13,QQQ,-0.0033512725976801994,-0.5340399304007593
2010-06-11,2007-06-13,selected,0.04895383428331601,-0.4067651859202328
2010-06-14,2007-06-14,QQQ,-0.007038104670003431,-0.5340399304007604
2010-06-14,2007-06-14,selected,0.04836989032810557,-0.40676518592023303
2010-06-15,2007-06-15,QQQ,-0.00042995454294003643,-0.5340399304007595
2010-06-15,2007-06-15,selected,0.05468756648525286,-0.4067651859202326
2010-06-16,2007-06-18,QQQ,-0.002138847491196416,-0.5340399304007597
2010-06-16,2007-06-18,selected,0.05519301114535535,-0.4067651859202328
2010-06-17,2007-06-19,QQQ,-0.0011457118852994386,-0.5340399304007599
2010-06-17,2007-06-19,selected,0.05667887599719501,-0.4067651859202329
2010-06-18,2007-06-20,QQQ,-0.0007996115624594458,-0.5340399304007597
2010-06-18,2007-06-20,selected,0.057204374328949426,-0.40676518592023314
2010-06-21,2007-06-21,QQQ,-0.0004932980029134226,-0.5340399304007599
2010-06-21,2007-06-21,selected,0.05419655375409915,-0.40676518592023236
2010-06-22,2007-06-22,QQQ,-0.0060760478150634345,-0.5340399304007597
2010-06-22,2007-06-22,selected,0.052842761089466395,-0.4067651859202329
2010-06-23,2007-06-25,QQQ,-0.004300670481496849,-0.5340399304007599
2010-06-23,2007-06-25,selected,0.051482625711438024,-0.4067651859202336
2010-06-24,2007-06-26,QQQ,-0.007971225121611858,-0.5340399304007604
2010-06-24,2007-06-26,selected,0.048267620040781,-0.4067651859202337
2010-06-25,2007-06-27,QQQ,-0.006002025368859187,-0.5340399304007601
2010-06-25,2007-06-27,selected,0.048968869307260965,-0.4067651859202325
2010-06-28,2007-06-28,QQQ,-0.012212114863092705,-0.5340399304007593
2010-06-28,2007-06-28,selected,0.04786400953853276,-0.4067651859202328
2010-06-29,2007-06-29,QQQ,-0.02494280986558106,-0.534039930400759
2010-06-29,2007-06-29,selected,0.03936427798778097,-0.4067651859202326
2010-06-30,2007-07-02,QQQ,-0.030457875656695776,-0.5340399304007595
2010-06-30,2007-07-02,selected,0.03611181671933039,-0.40676518592023314
2010-07-01,2007-07-03,QQQ,-0.0342659852919146,-0.5340399304007605
2010-07-01,2007-07-03,selected,0.03360478346833662,-0.40676518592023336
2010-07-02,2007-07-05,QQQ,-0.037041568502706346,-0.5340399304007597
2010-07-02,2007-07-05,selected,0.031234163077363597,-0.4067651859202336
2010-07-06,2007-07-06,QQQ,-0.03837664037909472,-0.5340399304007599
2010-07-06,2007-07-06,selected,0.029508249334719627,-0.40676518592023336
2010-07-07,2007-07-09,QQQ,-0.029578415527301782,-0.5340399304007593
2010-07-07,2007-07-09,selected,0.03754636074853668,-0.4067651859202325
2010-07-08,2007-07-10,QQQ,-0.028014241562489772,-0.5340399304007598
2010-07-08,2007-07-10,selected,0.03885614335453891,-0.4067651859202329
2010-07-09,2007-07-11,QQQ,-0.02220427787037016,-0.5340399304007599
2010-07-09,2007-07-11,selected,0.04466688872838098,-0.4067651859202328
2010-07-12,2007-07-12,QQQ,-0.023466239129707356,-0.5340399304007595
2010-07-12,2007-07-12,selected,0.04307513599962798,-0.4067651859202338
2010-07-13,2007-07-13,QQQ,-0.024237927423956362,-0.5340399304007594
2010-07-13,2007-07-13,selected,0.041700422822934735,-0.4067651859202326
2010-07-14,2007-07-16,QQQ,-0.02481521038700707,-0.5340399304007593
2010-07-14,2007-07-16,selected,0.040914138436509706,-0.40676518592023314
2010-07-15,2007-07-17,QQQ,-0.024204050009536848,-0.5340399304007593
2010-07-15,2007-07-17,selected,0.04161704296299362,-0.40676518592023314
2010-07-16,2007-07-18,QQQ,-0.035719494440167976,-0.5340399304007595
2010-07-16,2007-07-18,selected,0.030550312703240712,-0.4067651859202328
2010-07-19,2007-07-19,QQQ,-0.03258748303019554,-0.53403993040076
2010-07-19,2007-07-19,selected,0.033296003755166836,-0.40676518592023336
2010-07-20,2007-07-20,QQQ,-0.029675306629958764,-0.5340399304007597
2010-07-20,2007-07-20,selected,0.035989025115057194,-0.4067651859202327
2010-07-21,2007-07-23,QQQ,-0.03239270281301776,-0.5340399304007597
2010-07-21,2007-07-23,selected,0.033698668267422294,-0.4067651859202329
2010-07-22,2007-07-24,QQQ,-0.024425881627868407,-0.5340399304007597
2010-07-22,2007-07-24,selected,0.041051476504157636,-0.4067651859202328
2010-07-23,2007-07-25,QQQ,-0.01750559772662641,-0.5340399304007595
2010-07-23,2007-07-25,selected,0.047855369842043194,-0.4067651859202326
2010-07-26,2007-07-26,QQQ,-0.015276674332257989,-0.5340399304007597
2010-07-26,2007-07-26,selected,0.04974391304064518,-0.40676518592023303
2010-07-27,2007-07-27,QQQ,-0.012611820440138644,-0.5340399304007595
2010-07-27,2007-07-27,selected,0.05229552274041893,-0.4067651859202336
2010-07-28,2007-07-30,QQQ,-0.008516807184128283,-0.534039930400759
2010-07-28,2007-07-30,selected,0.05707012021556723,-0.4067651859202327
2010-07-29,2007-07-31,QQQ,-0.014780046965589433,-0.5340399304007599
2010-07-29,2007-07-31,selected,0.050799814246310415,-0.4067651859202325
2010-07-30,2007-08-01,QQQ,-0.007059445027269073,-0.5340399304007604
2010-07-30,2007-08-01,selected,0.05915145299367652,-0.40676518592023225
2010-08-02,2007-08-02,QQQ,-0.003463590928711513,-0.53403993040076
2010-08-02,2007-08-02,selected,0.06201671429444566,-0.4067651859202327
2010-08-03,2007-08-03,QQQ,-0.007917556191945896,-0.5340399304007595
2010-08-03,2007-08-03,selected,0.05726787269468003,-0.40676518592023336
2010-08-04,2007-08-06,QQQ,0.0018120277237971827,-0.5340399304007604
2010-08-04,2007-08-06,selected,0.06752873232026468,-0.40676518592023236
2010-08-05,2007-08-07,QQQ,-0.002811402698681742,-0.5340399304007599
2010-08-05,2007-08-07,selected,0.0626508840719564,-0.40676518592023314
2010-08-06,2007-08-08,QQQ,-0.005652213933935779,-0.5340399304007597
2010-08-06,2007-08-08,selected,0.059665091212830035,-0.40676518592023303
2010-08-09,2007-08-09,QQQ,-0.007007157689454591,-0.5340399304007595
2010-08-09,2007-08-09,selected,0.05822777242934962,-0.4067651859202327
2010-08-10,2007-08-10,QQQ,-0.0021423420972799256,-0.5340399304007599
2010-08-10,2007-08-10,selected,0.06339526444259436,-0.4067651859202327
2010-08-11,2007-08-13,QQQ,-0.008288526309669364,-0.5340399304007593
2010-08-11,2007-08-13,selected,0.05689236422095645,-0.4067651859202329
2010-08-12,2007-08-14,QQQ,-0.013138276351571387,-0.5340399304007595
2010-08-12,2007-08-14,selected,0.051791894388874216,-0.4067651859202327
2010-08-13,2007-08-15,QQQ,-0.009832445885992191,-0.5340399304007593
2010-08-13,2007-08-15,selected,0.055292318653129335,-0.40676518592023325
2010-08-16,2007-08-16,QQQ,-0.0028795745566729813,-0.5340399304007593
2010-08-16,2007-08-16,selected,0.06265774975116911,-0.4067651859202328
2010-08-17,2007-08-17,QQQ,0.004625357398739149,-0.5340399304007588
2010-08-17,2007-08-17,selected,0.07059650761622271,-0.40676518592023303
2010-08-18,2007-08-20,QQQ,-0.0003139837366961107,-0.5340399304007596
2010-08-18,2007-08-20,selected,0.06537744712627536,-0.4067651859202327
2010-08-19,2007-08-21,QQQ,-0.006957500554539697,-0.5340399304007599
2010-08-19,2007-08-21,selected,0.058370312975830396,-0.4067651859202328
2010-08-20,2007-08-22,QQQ,-0.009978172671865515,-0.5340399304007597
2010-08-20,2007-08-22,selected,0.05517690642760087,-0.40676518592023303
2010-08-23,2007-08-23,QQQ,-0.017657812770327408,-0.5340399304007604
2010-08-23,2007-08-23,selected,0.0470640272569669,-0.4067651859202325
2010-08-24,2007-08-24,QQQ,-0.022917402146233834,-0.5340399304007604
