date,BOXX,SGOV
2020-06-01,,83.8312225342
2020-06-02,,83.8337478638
2020-06-03,,83.8354263306
2020-06-04,,83.8354263306
2020-06-05,,83.8312225342
2020-06-08,,83.8312225342
2020-06-09,,83.8312225342
2020-06-10,,83.8354263306
2020-06-11,,83.8354263306
2020-06-12,,83.8354263306
2020-06-15,,83.8354263306
2020-06-16,,83.8354263306
2020-06-17,,83.8396072388
2020-06-18,,83.8429565430
2020-06-19,,83.8437805176
2020-06-22,,83.8396072388
2020-06-23,,83.8396072388
2020-06-24,,83.8396072388
2020-06-25,,83.8396072388
2020-06-26,,83.8354263306
2020-06-29,,83.8437805176
2020-06-30,,83.8437805176
2020-07-01,,83.8404464722
2020-07-02,,83.8454589844
2020-07-06,,83.8404464722
2020-07-07,,83.8404464722
2020-07-08,,83.8404464722
2020-07-09,,83.8488159180
2020-07-10,,83.8521804810
2020-07-13,,83.8488159180
2020-07-14,,83.8446426392
2020-07-15,,83.8446426392
2020-07-16,,83.8446426392
2020-07-17,,83.8446426392
2020-07-20,,83.8446426392
2020-07-21,,83.8446426392
2020-07-22,,83.8446426392
2020-07-23,,83.8446426392
2020-07-24,,83.8446426392
2020-07-27,,83.8446426392
2020-07-28,,83.8446426392
2020-07-29,,83.8488159180
2020-07-30,,83.8446426392
2020-07-31,,83.8488159180
2020-08-03,,83.8496780396
2020-08-04,,83.8496780396
2020-08-05,,83.8496780396
2020-08-06,,83.8496780396
2020-08-07,,83.8538589478
2020-08-10,,83.8496780396
2020-08-11,,83.8496780396
2020-08-12,,83.8538589478
2020-08-13,,83.8538589478
2020-08-14,,83.8580551147
2020-08-17,,83.8580551147
2020-08-18,,83.8538589478
2020-08-19,,83.8597183228
2020-08-20,,83.8538589478
2020-08-21,,83.8538589478
2020-08-24,,83.8538589478
2020-08-25,,83.8580551147
2020-08-26,,83.8454437256
2020-08-27,,83.8622589111
2020-08-28,,83.8538589478
2020-08-31,,83.8538589478
2020-09-01,,83.8429565430
2020-09-02,,83.8513107300
2020-09-03,,83.8555297852
2020-09-04,,83.8555297852
2020-09-08,,83.8555297852
2020-09-09,,83.8597259521
2020-09-10,,83.8555297852
2020-09-11,,83.8555297852
2020-09-14,,83.8555297852
2020-09-15,,83.8555297852
2020-09-16,,83.8555297852
2020-09-17,,83.8555297852
2020-09-18,,83.8555297852
2020-09-21,,83.8555297852
2020-09-22,,83.8555297852
2020-09-23,,83.8555297852
2020-09-24,,83.8555297852
2020-09-25,,83.8597259521
2020-09-28,,83.8597259521
