strategy,total_return,annual_return,max_drawdown,volatility,sharpe,observations,complete_years,mdd_no_worse_years,mdd_strictly_better_years,return_within_5pp_years,both_within_5pp_years,return_within_10pp_years,both_within_10pp_years,min_return_gap,median_return_gap,min_mdd_gap,median_mdd_gap,strict_eligible,strict_mdd_eligible,risk_first_eligible,entry_vix,severe_vix,normal_qqq_cap,severe_qqq_cap,exit_mode,pass_80pct_objective
neighbor,17.350335672382876,0.16393640717488278,-0.39740353021827857,0.1824823055472763,0.9235167645750606,4830,18,18,18,16,16,18,18,-0.07506679562936203,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.75,0.35,fast,True
neighbor,19.720423769870077,0.1713364764857186,-0.37483235289893235,0.1831749314413698,0.9553233954212331,4830,18,18,18,16,16,18,18,-0.05822917669892491,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.75,0.35,medium,True
neighbor,17.62157943873578,0.16482781105310673,-0.40295776818623563,0.18329669828064196,0.9244009743528432,4830,18,18,18,16,16,18,18,-0.07121237885832121,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.75,0.4,fast,True
neighbor,19.741667375025227,0.17139910235106903,-0.38133146602925394,0.18394648653361817,0.9523730872195237,4830,18,18,18,17,17,18,18,-0.05492961867480339,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.75,0.4,medium,True
neighbor,17.888134420785832,0.165691896187232,-0.40893557575620143,0.18423885649975857,0.9246357027925544,4830,18,18,18,16,16,18,18,-0.067422229467764,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.75,0.45,fast,True
neighbor,19.753896754807847,0.17143512683284867,-0.3882552222864548,0.18483856430187728,0.9488283450382262,4830,18,18,18,17,17,18,18,-0.05162892601074587,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.75,0.45,medium,True
neighbor,17.274589581176325,0.1636852475094217,-0.3953304879399383,0.18272655044321237,0.921346326714597,4830,18,18,18,16,16,18,18,-0.07506679562936203,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.8,0.35,fast,True
neighbor,19.704148788452468,0.17128845687232963,-0.37627166055311534,0.1834916463881681,0.9537687421692097,4830,18,18,18,17,17,18,18,-0.05822917669892491,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.8,0.35,medium,True
neighbor,17.544717294172777,0.16457647076723392,-0.40090381713681966,0.18353980827325578,0.9222446929177395,4830,18,18,18,16,16,18,18,-0.07121237885832121,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.8,0.4,fast,True
neighbor,19.725379065909568,0.1713510900728481,-0.3827557711018762,0.18426182992068313,0.9508370922626971,4830,18,18,18,17,17,18,18,-0.05492961867480339,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.8,0.4,medium,True
