date,VIX,VIX3M
2007-05-30,12.83,
2007-05-31,13.05,
2007-06-01,12.78,
2007-06-04,13.29,
2007-06-05,13.63,
2007-06-06,14.87,
2007-06-07,17.06,
2007-06-08,14.84,
2007-06-11,14.71,
2007-06-12,16.67,
2007-06-13,14.73,
2007-06-14,13.64,
2007-06-15,13.94,
2007-06-18,13.42,
2007-06-19,12.85,
2007-06-20,14.67,
2007-06-21,14.21,
2007-06-22,15.75,
2007-06-25,16.65,
2007-06-26,18.89,
2007-06-27,15.53,
2007-06-28,15.54,
2007-06-29,16.23,
2007-07-02,15.4,
2007-07-03,14.92,
2007-07-05,15.48,
2007-07-06,14.72,
2007-07-09,15.16,
2007-07-10,17.57,
2007-07-11,16.64,
2007-07-12,15.54,
2007-07-13,15.15,
2007-07-16,15.59,
2007-07-17,15.63,
2007-07-18,16.0,
2007-07-19,15.23,
2007-07-20,16.95,
2007-07-23,16.81,
2007-07-24,18.55,
2007-07-25,18.1,
2007-07-26,20.74,
2007-07-27,24.17,
2007-07-30,20.87,
2007-07-31,23.52,
2007-08-01,23.67,
2007-08-02,21.22,
2007-08-03,25.16,
2007-08-06,22.94,
2007-08-07,21.56,
2007-08-08,21.45,
2007-08-09,26.48,
2007-08-10,28.3,
2007-08-13,26.57,
2007-08-14,27.68,
2007-08-15,30.67,
2007-08-16,30.83,
2007-08-17,29.99,
2007-08-20,26.33,
2007-08-21,25.25,
2007-08-22,22.89,
2007-08-23,22.62,
2007-08-24,20.72,
2007-08-27,22.72,
2007-08-28,26.3,
2007-08-29,23.81,
2007-08-30,25.06,
2007-08-31,23.38,
2007-09-04,22.78,
2007-09-05,24.58,
2007-09-06,23.99,
2007-09-07,26.23,
2007-09-10,27.38,
2007-09-11,25.27,
2007-09-12,24.96,
2007-09-13,24.76,
2007-09-14,24.92,
2007-09-17,26.48,
2007-09-18,20.35,
2007-09-19,20.03,
2007-09-20,20.45,
2007-09-21,19.0,
2007-09-24,19.37,
2007-09-25,18.6,
2007-09-26,17.63,
2007-09-27,17.0,
2007-09-28,18.0,
2007-10-01,17.84,
2007-10-02,18.49,
2007-10-03,18.8,
2007-10-04,18.44,
2007-10-05,16.91,
2007-10-08,17.46,
2007-10-09,16.12,
2007-10-10,16.67,
2007-10-11,18.88,
2007-10-12,17.73,
2007-10-15,19.25,
2007-10-16,20.02,
2007-10-17,18.54,
2007-10-18,18.5,
2007-10-19,22.96,
2007-10-22,21.64,
2007-10-23,20.41,
2007-10-24,20.8,
2007-10-25,21.17,
2007-10-26,19.56,
2007-10-29,19.87,
2007-10-30,21.07,
2007-10-31,18.53,
2007-11-01,23.21,
2007-11-02,23.01,
2007-11-05,24.31,
2007-11-06,21.39,
2007-11-07,26.49,
2007-11-08,26.16,
2007-11-09,28.5,
2007-11-12,31.09,
2007-11-13,24.1,
2007-11-14,25.94,
2007-11-15,28.06,
2007-11-16,25.49,
2007-11-19,26.01,
2007-11-20,24.88,
2007-11-21,26.84,
2007-11-23,25.61,
2007-11-26,28.91,
2007-11-27,26.28,
2007-11-28,24.11,
2007-11-29,23.97,
2007-11-30,22.87,
2007-12-03,23.61,
2007-12-04,23.79,
2007-12-05,22.53,
2007-12-06,20.96,
2007-12-07,20.85,
2007-12-10,20.74,
2007-12-11,23.59,
2007-12-12,22.47,
2007-12-13,22.56,
2007-12-14,23.27,
2007-12-17,24.52,
2007-12-18,22.64,
2007-12-19,21.68,
2007-12-20,20.58,
2007-12-21,18.47,
2007-12-24,18.6,
2007-12-26,18.66,
2007-12-27,20.26,
2007-12-28,20.74,
2007-12-31,22.5,
2008-01-02,23.17,
2008-01-03,22.49,
2008-01-04,23.94,
2008-01-07,23.79,
2008-01-08,25.43,
2008-01-09,24.12,
2008-01-10,23.45,
2008-01-11,23.68,
2008-01-14,22.9,
2008-01-15,23.34,
2008-01-16,24.38,
2008-01-17,28.46,
2008-01-18,27.18,
2008-01-22,31.01,
2008-01-23,29.02,
2008-01-24,27.78,
2008-01-25,29.08,
2008-01-28,27.78,
2008-01-29,27.32,
2008-01-30,27.62,
2008-01-31,26.2,
2008-02-01,24.02,
2008-02-04,25.99,
2008-02-05,28.24,
2008-02-06,28.97,
2008-02-07,27.66,
2008-02-08,28.01,
2008-02-11,27.6,
2008-02-12,26.33,
2008-02-13,24.88,
2008-02-14,25.54,
2008-02-15,25.02,
2008-02-19,25.59,
2008-02-20,24.4,
2008-02-21,25.12,
2008-02-22,24.06,
2008-02-25,23.03,
2008-02-26,21.9,
2008-02-27,22.69,
2008-02-28,23.53,
2008-02-29,26.54,
2008-03-03,26.28,
2008-03-04,25.52,
2008-03-05,24.6,
2008-03-06,27.55,
2008-03-07,27.49,
2008-03-10,29.38,
2008-03-11,26.36,
2008-03-12,27.22,
2008-03-13,27.29,
2008-03-14,31.16,
2008-03-17,32.24,
2008-03-18,25.79,
2008-03-19,29.84,
2008-03-20,26.62,
2008-03-24,25.73,
2008-03-25,25.72,
2008-03-26,26.08,
2008-03-27,25.88,
2008-03-28,25.71,
2008-03-31,25.61,
2008-04-01,22.68,
2008-04-02,23.43,
2008-04-03,23.21,
2008-04-04,22.45,
2008-04-07,22.42,
2008-04-08,22.36,
2008-04-09,22.81,
2008-04-10,21.98,
2008-04-11,23.46,
2008-04-14,23.82,
2008-04-15,22.78,
2008-04-16,20.53,
2008-04-17,20.37,
2008-04-18,20.13,
2008-04-21,20.5,
2008-04-22,20.87,
2008-04-23,20.26,
2008-04-24,20.06,
2008-04-25,19.59,
